run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,448812,2995533266,bubble-sort,01_100.bin,100
2,577414,2995533266,bubble-sort,01_100.bin,100
3,429932,2995533266,bubble-sort,01_100.bin,100
4,448090,2995533266,bubble-sort,01_100.bin,100
5,471238,2995533266,bubble-sort,01_100.bin,100
6,502816,2995533266,bubble-sort,01_100.bin,100
7,463534,2995533266,bubble-sort,01_100.bin,100
8,426848,2995533266,bubble-sort,01_100.bin,100
9,466492,2995533266,bubble-sort,01_100.bin,100
10,469402,2995533266,bubble-sort,01_100.bin,100
