run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,966794964,2995522452,bubble-sort,04_10K.bin,10240
2,915626160,2995522452,bubble-sort,04_10K.bin,10240
3,933067982,2995522452,bubble-sort,04_10K.bin,10240
4,919597716,2995522452,bubble-sort,04_10K.bin,10240
5,923674950,2995522452,bubble-sort,04_10K.bin,10240
6,944006164,2995522452,bubble-sort,04_10K.bin,10240
7,919111392,2995522452,bubble-sort,04_10K.bin,10240
8,904739604,2995522452,bubble-sort,04_10K.bin,10240
9,924685374,2995522452,bubble-sort,04_10K.bin,10240
10,925417178,2995522452,bubble-sort,04_10K.bin,10240
