run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,682423347381,11942174,bubble-sort,06_100K.bin,102400
2,682501690427,11942174,bubble-sort,06_100K.bin,102400
3,682467846784,11942174,bubble-sort,06_100K.bin,102400
4,682444084229,11942174,bubble-sort,06_100K.bin,102400
5,682440459252,11942174,bubble-sort,06_100K.bin,102400
6,682435232387,11942174,bubble-sort,06_100K.bin,102400
7,682419485024,11942174,bubble-sort,06_100K.bin,102400
8,682381278703,11942174,bubble-sort,06_100K.bin,102400
9,682350872937,11942174,bubble-sort,06_100K.bin,102400
10,682320769583,11942174,bubble-sort,06_100K.bin,102400
