run_number,run_time_ns,algorithm,file,file_size_bytes
1,566155959828,bubble-sort,22_100K.bin,102400
2,566119223982,bubble-sort,22_100K.bin,102400
3,566120242019,bubble-sort,22_100K.bin,102400
4,566123522944,bubble-sort,22_100K.bin,102400
5,566096602519,bubble-sort,22_100K.bin,102400
6,566084558500,bubble-sort,22_100K.bin,102400
7,566098105475,bubble-sort,22_100K.bin,102400
8,566092283421,bubble-sort,22_100K.bin,102400
9,566110521829,bubble-sort,22_100K.bin,102400
10,566102022169,bubble-sort,22_100K.bin,102400
