run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,3258562,2995360202,merge-sort,01_100.bin,100
2,4638344,2995360202,merge-sort,01_100.bin,100
3,3781112,2995360202,merge-sort,01_100.bin,100
4,3774188,2995360202,merge-sort,01_100.bin,100
5,3779696,2995360202,merge-sort,01_100.bin,100
6,1545076,2995360202,merge-sort,01_100.bin,100
7,936406,2995360202,merge-sort,01_100.bin,100
8,753338,2995360202,merge-sort,01_100.bin,100
9,733496,2995360202,merge-sort,01_100.bin,100
10,732070,2995360202,merge-sort,01_100.bin,100
