run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,413350856,2995538362,merge-sort,05_50K.bin,51200
2,501016270,2995538362,merge-sort,05_50K.bin,51200
3,470090578,2995538362,merge-sort,05_50K.bin,51200
4,482076340,2995538362,merge-sort,05_50K.bin,51200
5,469296830,2995538362,merge-sort,05_50K.bin,51200
6,469329856,2995538362,merge-sort,05_50K.bin,51200
7,468952782,2995538362,merge-sort,05_50K.bin,51200
8,474006904,2995538362,merge-sort,05_50K.bin,51200
9,480897932,2995538362,merge-sort,05_50K.bin,51200
10,471700400,2995538362,merge-sort,05_50K.bin,51200
