run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,4027788,11410146,merge-sort,01_100.bin,100
2,4053448,11410146,merge-sort,01_100.bin,100
3,3883848,11410146,merge-sort,01_100.bin,100
4,3858424,11410146,merge-sort,01_100.bin,100
5,4134968,11410146,merge-sort,01_100.bin,100
6,3920860,11410146,merge-sort,01_100.bin,100
7,4448666,11410146,merge-sort,01_100.bin,100
8,3954101,11410146,merge-sort,01_100.bin,100
9,4308230,11410146,merge-sort,01_100.bin,100
10,3911858,11410146,merge-sort,01_100.bin,100
