run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,2069630369,11621411,merge-sort,05_50K.bin,51200
2,2073662980,11621411,merge-sort,05_50K.bin,51200
3,2069042012,11621411,merge-sort,05_50K.bin,51200
4,2069071617,11621411,merge-sort,05_50K.bin,51200
5,2074657214,11621411,merge-sort,05_50K.bin,51200
6,2067917583,11621411,merge-sort,05_50K.bin,51200
7,2067577722,11621411,merge-sort,05_50K.bin,51200
8,2078449682,11621411,merge-sort,05_50K.bin,51200
9,2064415613,11621411,merge-sort,05_50K.bin,51200
10,2069872475,11621411,merge-sort,05_50K.bin,51200
