run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,103468,2995356860,quick-sort,01_100.bin,100
2,80076,2995356860,quick-sort,01_100.bin,100
3,66266,2995356860,quick-sort,01_100.bin,100
4,61354,2995356860,quick-sort,01_100.bin,100
5,61270,2995356860,quick-sort,01_100.bin,100
6,59954,2995356860,quick-sort,01_100.bin,100
7,59750,2995356860,quick-sort,01_100.bin,100
8,60584,2995356860,quick-sort,01_100.bin,100
9,59800,2995356860,quick-sort,01_100.bin,100
10,127726,2995356860,quick-sort,01_100.bin,100
