run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,30031904,2995606700,quick-sort,05_50K.bin,51200
2,11480938,2995606700,quick-sort,05_50K.bin,51200
3,11484048,2995606700,quick-sort,05_50K.bin,51200
4,11511732,2995606700,quick-sort,05_50K.bin,51200
5,11512676,2995606700,quick-sort,05_50K.bin,51200
6,11324644,2995606700,quick-sort,05_50K.bin,51200
7,11356576,2995606700,quick-sort,05_50K.bin,51200
8,11281770,2995606700,quick-sort,05_50K.bin,51200
9,11305532,2995606700,quick-sort,05_50K.bin,51200
10,11445982,2995606700,quick-sort,05_50K.bin,51200
