run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,116662673,11262505,quick-sort,06_100K.bin,102400
2,117260571,11262505,quick-sort,06_100K.bin,102400
3,117102786,11262505,quick-sort,06_100K.bin,102400
4,116698787,11262505,quick-sort,06_100K.bin,102400
5,117009446,11262505,quick-sort,06_100K.bin,102400
6,117033554,11262505,quick-sort,06_100K.bin,102400
7,117076582,11262505,quick-sort,06_100K.bin,102400
8,117666710,11262505,quick-sort,06_100K.bin,102400
9,116840530,11262505,quick-sort,06_100K.bin,102400
10,116683940,11262505,quick-sort,06_100K.bin,102400
